id,q_entrance,q_exit,loss,optimal,is_source
0,13.92924894,0.28297507,13.64627387,37.25653236,1
1,14.34935625,0.290121322,14.05923493,14.34935625,1
2,3.114392633,6.162348218,-3.047955585,3.114392633,0
3,1.892942173,1.211187279,0.681754894,1.892942173,0
4,4.144166114,0.638006838,3.506159276,4.144166114,0
5,0.854758755,0.854758755,0,0.854758755,0
6,0.405115803,0.405115803,0,0.405115803,0
7,11.48567796,5.075525584,6.410152377,11.48567796,0
8,4.055018453,3.759806141,0.295212312,4.055018453,0
9,4.83217104,1.271549832,3.560621208,4.83217104,0
10,1.055626173,0.727728827,0.327897346,1.055626173,0
11,1.428446326,6.781585702,-5.353139376,1.428446326,1
12,0.610582588,0.035235909,0.57534668,0.610582588,0
13,0.534942393,0.406554454,0.128387938,0.534942393,0
14,7.652984962,5.128033864,2.524951097,7.652984962,1
15,0,0,0,0,0
16,4.826383812,3.181952238,1.644431575,4.826383812,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,3.249587164,1.839896651,1.409690514,3.249587164,0
21,0,0,0,0,0
22,0,0,0,0,0
25,1.882591043,1.300314667,0.582276376,1.882591043,0
26,0.093030828,0.063494232,0.029536596,0.093030828,0
23,0,0,0,0,0
24,0,0,0,0,0
29,0.866531392,0.045154482,0.82137691,0.866531392,0
30,0.208097933,1.23E-13,0.208097933,0.208097933,0
27,0,0,0,0,0
28,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0.159191002,0.299184885,-0.139993883,0.159191002,0
31,0,0,0,0,0
32,0,0,0,0,0
37,0,0,0,0,0
38,0.409602671,0.030946146,0.378656526,0.409602671,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0.009836766,-0.009836766,0,0
47,0.230726684,0.030739297,0.199987387,0.230726684,0
48,0.567107253,0.454295452,0.112811801,0.567107253,0
49,7.622074547,9.59119681,-1.969122263,7.622074547,1
